IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
52.42.97.251,443,443,true,YVR,North America,CA,Vancouver,231,9.34
52.24.15.209,443,443,true,PDX,North America,US,Portland,277,9.32
52.40.207.125,8443,443,true,YVR,North America,CA,Vancouver,312,9.29
67.226.223.143,80,443,true,LHR,Europe,GB,London,154,9.29
54.202.169.185,443,443,true,YVR,North America,CA,Vancouver,308,9.29
67.226.223.189,80,443,true,LHR,Europe,GB,London,166,9.28
13.50.173.22,8443,443,true,ARN,Europe,SE,Stockholm,296,9.27
54.202.34.34,8443,443,true,YVR,North America,CA,Vancouver,312,9.24
54.200.244.93,443,443,true,SEA,North America,US,Seattle,272,9.22
52.40.178.237,2053,443,true,PDX,North America,US,Portland,383,9.20
54.191.10.52,8443,443,true,YVR,North America,CA,Vancouver,264,9.20
52.39.94.7,443,443,true,YVR,North America,CA,Vancouver,292,9.19
54.244.158.4,443,443,true,YVR,North America,CA,Vancouver,376,9.18
54.212.161.113,443,443,true,YVR,North America,CA,Vancouver,250,9.18
35.92.190.194,443,443,true,YVR,North America,CA,Vancouver,312,9.18
52.10.112.194,443,443,true,YVR,North America,CA,Vancouver,324,9.17
52.12.76.35,8443,443,true,YVR,North America,CA,Vancouver,348,9.17
54.184.185.2,443,443,true,YVR,North America,CA,Vancouver,364,9.14
67.226.223.20,80,443,true,LHR,Europe,GB,London,166,9.14
54.149.71.94,443,443,true,YVR,North America,CA,Vancouver,320,9.13
3.68.197.87,8080,443,true,FRA,Europe,DE,Frankfurt,266,9.13
35.95.94.95,8443,443,true,YVR,North America,CA,Vancouver,328,9.11
54.189.71.164,443,443,true,YVR,North America,CA,Vancouver,299,9.11
44.245.149.47,8443,443,true,YVR,North America,CA,Vancouver,339,9.10
54.213.215.13,8443,443,true,PDX,North America,US,Portland,325,9.09
52.33.68.25,443,443,true,YVR,North America,CA,Vancouver,343,9.09
35.89.86.58,443,443,true,YVR,North America,CA,Vancouver,218,9.09
44.244.245.48,8443,443,true,YVR,North America,CA,Vancouver,249,9.08
44.243.172.90,443,443,true,YVR,North America,CA,Vancouver,323,9.08
52.89.97.12,443,443,true,SEA,North America,US,Seattle,332,9.07
54.186.102.97,443,443,true,YVR,North America,CA,Vancouver,272,9.06
13.40.125.221,443,443,true,LHR,Europe,GB,London,340,9.05
54.218.17.21,443,443,true,YVR,North America,CA,Vancouver,299,9.04
35.179.134.111,443,443,true,LHR,Europe,GB,London,359,9.04
54.218.119.154,443,443,true,YVR,North America,CA,Vancouver,354,9.02
54.191.238.191,443,443,true,YVR,North America,CA,Vancouver,312,9.02
54.67.51.104,2053,443,true,SJC,North America,US,San Jose,267,9.02
44.245.200.255,8443,443,true,YVR,North America,CA,Vancouver,228,9.02
35.90.76.128,8443,443,true,YVR,North America,CA,Vancouver,342,9.01
52.36.237.100,443,443,true,YVR,North America,CA,Vancouver,303,9.00
54.185.212.225,8443,443,true,YVR,North America,CA,Vancouver,316,9.00
67.226.223.106,80,443,true,LHR,Europe,GB,London,165,9.00
35.93.67.161,443,443,true,YVR,North America,CA,Vancouver,320,8.99
54.184.189.24,443,443,true,YVR,North America,CA,Vancouver,248,8.99
54.68.38.53,443,443,true,YVR,North America,CA,Vancouver,296,8.98
35.89.106.68,443,443,true,YVR,North America,CA,Vancouver,338,8.97
52.36.203.225,8443,443,true,YVR,North America,CA,Vancouver,219,8.96
52.11.152.143,443,443,true,YVR,North America,CA,Vancouver,322,8.96
54.214.120.172,443,443,true,YVR,North America,CA,Vancouver,306,8.93
52.13.212.72,443,443,true,SEA,North America,US,Seattle,220,8.92
54.213.85.254,443,443,true,YVR,North America,CA,Vancouver,286,8.91
35.89.240.32,443,443,true,YVR,North America,CA,Vancouver,244,8.91
50.112.194.250,443,443,true,YVR,North America,CA,Vancouver,284,8.91
54.191.59.162,8443,443,true,YVR,North America,CA,Vancouver,232,8.90
35.90.43.223,8443,443,true,YVR,North America,CA,Vancouver,300,8.89
54.202.231.158,443,443,true,YVR,North America,CA,Vancouver,271,8.88
52.40.178.237,8443,443,true,PDX,North America,US,Portland,237,8.87
35.92.188.156,443,443,true,YVR,North America,CA,Vancouver,220,8.87
35.88.61.241,443,443,true,YVR,North America,CA,Vancouver,249,8.86
35.92.22.121,443,443,true,YVR,North America,CA,Vancouver,295,8.86
54.245.199.12,8443,443,true,YVR,North America,CA,Vancouver,321,8.84
54.186.154.101,8443,443,true,YVR,North America,CA,Vancouver,248,8.84
52.89.244.87,443,443,true,YVR,North America,CA,Vancouver,260,8.82
52.12.206.233,443,443,true,YVR,North America,CA,Vancouver,279,8.82
44.245.17.20,443,443,true,YVR,North America,CA,Vancouver,318,8.82
54.212.160.143,443,443,true,YVR,North America,CA,Vancouver,256,8.81
35.93.0.41,443,443,true,YVR,North America,CA,Vancouver,406,8.80
35.89.190.108,8443,443,true,YVR,North America,CA,Vancouver,231,8.79
51.20.161.26,443,443,true,ARN,Europe,SE,Stockholm,237,8.79
52.12.233.58,443,443,true,YVR,North America,CA,Vancouver,299,8.79
52.42.71.111,443,443,true,YVR,North America,CA,Vancouver,292,8.78
54.202.117.16,443,443,true,YVR,North America,CA,Vancouver,231,8.74
52.11.79.143,443,443,true,YVR,North America,CA,Vancouver,292,8.72
44.244.98.106,443,443,true,YVR,North America,CA,Vancouver,288,8.71
54.187.12.121,443,443,true,YVR,North America,CA,Vancouver,314,8.70
54.213.25.23,8443,443,true,YVR,North America,CA,Vancouver,367,8.69
54.186.137.80,443,443,true,YVR,North America,CA,Vancouver,327,8.68
52.13.28.170,8880,443,true,YVR,North America,CA,Vancouver,246,8.68
35.90.106.53,443,443,true,YVR,North America,CA,Vancouver,226,8.67
52.59.190.18,443,443,true,FRA,Europe,DE,Frankfurt,296,8.66
52.36.83.139,443,443,true,YVR,North America,CA,Vancouver,324,8.64
13.40.4.21,443,443,true,LHR,Europe,GB,London,400,8.64
54.186.159.212,443,443,true,YVR,North America,CA,Vancouver,286,8.64
13.40.48.180,443,443,true,LHR,Europe,GB,London,359,8.64
67.226.223.202,80,443,true,LHR,Europe,GB,London,159,8.64
67.226.223.254,80,443,true,LHR,Europe,GB,London,575,8.62
54.190.161.208,8443,443,true,YVR,North America,CA,Vancouver,241,8.62
52.41.117.158,443,443,true,YVR,North America,CA,Vancouver,256,8.60
54.149.17.89,443,443,true,YVR,North America,CA,Vancouver,225,8.59
