IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
104.19.154.83,443,true,HKG,Asia Pacific,Hong Kong,33 ms,10915 kB/s
104.19.245.17,443,true,SJC,North America,San Jose,188 ms,10459 kB/s
104.17.13.39,443,true,SJC,North America,San Jose,183 ms,10370 kB/s
23.227.60.200,443,true,HKG,Asia Pacific,Hong Kong,35 ms,10325 kB/s
104.19.54.231,443,true,HKG,Asia Pacific,Hong Kong,32 ms,10201 kB/s
104.18.201.116,443,true,HKG,Asia Pacific,Hong Kong,30 ms,9843 kB/s
104.17.117.49,443,true,HKG,Asia Pacific,Hong Kong,51 ms,9720 kB/s
104.22.59.132,443,true,HKG,Asia Pacific,Hong Kong,32 ms,9591 kB/s
104.17.70.206,443,true,NRT,Asia Pacific,Tokyo,58 ms,9591 kB/s
104.16.190.80,443,true,TPE,Asia Pacific,Taipei,57 ms,9527 kB/s
104.17.97.5,443,true,HKG,Asia Pacific,Hong Kong,31 ms,9479 kB/s
104.17.180.180,443,true,HKG,Asia Pacific,Hong Kong,43 ms,9410 kB/s
104.16.227.115,443,true,HKG,Asia Pacific,Hong Kong,31 ms,9267 kB/s
104.21.69.204,443,true,SJC,North America,San Jose,188 ms,9183 kB/s
104.17.245.203,443,true,HKG,Asia Pacific,Hong Kong,32 ms,9164 kB/s
104.18.170.114,443,true,HKG,Asia Pacific,Hong Kong,36 ms,9112 kB/s
104.21.95.185,443,true,HKG,Asia Pacific,Hong Kong,35 ms,9094 kB/s
104.21.40.144,443,true,HKG,Asia Pacific,Hong Kong,32 ms,9009 kB/s
104.21.88.136,443,true,HKG,Asia Pacific,Hong Kong,32 ms,8978 kB/s
172.67.223.240,443,true,HKG,Asia Pacific,Hong Kong,32 ms,8809 kB/s
104.17.78.30,443,true,HKG,Asia Pacific,Hong Kong,31 ms,8683 kB/s
104.17.128.172,443,true,TPE,Asia Pacific,Taipei,54 ms,8634 kB/s
162.159.141.12,443,true,HKG,Asia Pacific,Hong Kong,33 ms,8608 kB/s
104.17.23.118,443,true,HKG,Asia Pacific,Hong Kong,39 ms,8587 kB/s
172.67.161.203,443,true,HKG,Asia Pacific,Hong Kong,34 ms,8581 kB/s
104.22.26.185,443,true,HKG,Asia Pacific,Hong Kong,34 ms,8533 kB/s
172.64.206.38,443,true,HKG,Asia Pacific,Hong Kong,35 ms,8301 kB/s
104.18.204.2,443,true,HKG,Asia Pacific,Hong Kong,32 ms,8239 kB/s
104.18.86.42,443,true,HKG,Asia Pacific,Hong Kong,33 ms,8226 kB/s
104.18.160.67,443,true,HKG,Asia Pacific,Hong Kong,33 ms,8218 kB/s
104.17.90.178,443,true,SJC,North America,San Jose,182 ms,8153 kB/s
104.18.240.108,443,true,HKG,Asia Pacific,Hong Kong,33 ms,8085 kB/s
104.16.218.119,443,true,NRT,Asia Pacific,Tokyo,73 ms,8037 kB/s
172.67.153.9,443,true,HKG,Asia Pacific,Hong Kong,35 ms,7828 kB/s
162.159.129.11,443,true,HKG,Asia Pacific,Hong Kong,33 ms,7793 kB/s
104.16.117.116,443,true,HKG,Asia Pacific,Hong Kong,33 ms,7787 kB/s
104.21.30.165,443,true,HKG,Asia Pacific,Hong Kong,34 ms,7666 kB/s
104.18.65.57,443,true,HKG,Asia Pacific,Hong Kong,30 ms,7663 kB/s
104.19.140.110,443,true,NRT,Asia Pacific,Tokyo,65 ms,7651 kB/s
104.19.180.98,443,true,SJC,North America,San Jose,206 ms,7651 kB/s
104.17.111.223,443,true,HKG,Asia Pacific,Hong Kong,32 ms,7639 kB/s
104.16.143.254,443,true,HKG,Asia Pacific,Hong Kong,31 ms,7627 kB/s
104.18.91.51,443,true,HKG,Asia Pacific,Hong Kong,33 ms,7599 kB/s
104.22.54.234,443,true,HKG,Asia Pacific,Hong Kong,34 ms,7567 kB/s
104.17.73.206,443,true,HKG,Asia Pacific,Hong Kong,31 ms,7562 kB/s
104.16.137.209,443,true,HKG,Asia Pacific,Hong Kong,32 ms,7540 kB/s
104.18.140.17,443,true,HKG,Asia Pacific,Hong Kong,31 ms,7512 kB/s
104.19.178.52,443,true,HKG,Asia Pacific,Hong Kong,61 ms,7446 kB/s
104.20.29.144,443,true,HKG,Asia Pacific,Hong Kong,33 ms,7419 kB/s
104.17.191.112,443,true,HKG,Asia Pacific,Hong Kong,31 ms,7382 kB/s
172.67.131.171,443,true,HKG,Asia Pacific,Hong Kong,34 ms,7381 kB/s
141.101.90.107,443,true,BCN,Europe,Barcelona,34 ms,7335 kB/s
104.16.234.230,443,true,HKG,Asia Pacific,Hong Kong,34 ms,7296 kB/s
104.16.101.12,443,true,FRA,Europe,Frankfurt,243 ms,7296 kB/s
104.20.57.136,443,true,FRA,Europe,Frankfurt,238 ms,7257 kB/s
104.22.68.66,443,true,HKG,Asia Pacific,Hong Kong,32 ms,7214 kB/s
